id,user_id,rating,review,created_at,tags,sentimental_score,hotel_name,picture
12,32,3,"2011 was my first visit to Shadab Restaurant.
I enjoyed ...
--------#######-----

2022 i visited n below are my review Mutton Biryani as it should be....
Keep it up
And of course the Tandoori chicken with real charcoal smoke
------######----------
02 August 2023
Again I visited the shadab for dinner
I ordered chicken tandoori .....it was awesome n we enjoyed lot...
Then I ordered Mutton Biryani, but the quantity of Mutton was only four pieces, out 4 two were only bones.
When I informed Captain about it he started debating with me.....verbatim ""Aisa ho hi nahi sakta"".
If you have any issue you can talk to our owner, he is availble in his cabin...
Then i approach to cashier n ask about incharge, he replied I'm the incharge..
I explained to him aforesaid matter.
He replied you would have inform us before having the Biryani, I asked him who is owner he replied he is out of country.
Cleaning n hygiene is not maintained at all.
The table clothes are very old with oily spots n some are discarded one
Management need to revamp the property to make soothing atmosphere",2023-08-15 17:34:57,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
13,33,5,The taste is very awesome you must try if you come to old Hyderabad city for sure you will like it.❤️,2023-09-17 19:36:42,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
14,34,2,The taste doesn't meet the hype or expectations it has. Travelled approx 20kms to taste the food but it tastes like a regular restaurant food.,2023-07-24 14:18:52,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
15,35,1,"Guys, if you're planning to eat here go at 11 AM, they'll make you wait for at least 1 hour, the service is worst, they management acts like they don't care about you at all and they're in a thought that customers are money machines and they'll wait for their food no matter what, I'm sure this would hit them hard one day",2023-09-17 13:44:22,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
16,36,2,"A lil over board in terms of cost! But one visit is a must kinda thing! A lot of hygiene to be maintained too! Unfortunately I felt like visiting a conditioned place with too much of arrogance in the air! But the waiter and suppliers were good!
Over all no harm in visiting once for the biryani but not great!!!",2021-03-16 15:24:21,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
17,37,1,"Visited this famous place before lockdown ! I've never seen such rude service ever ! We went in evening and all tables were full ! We said we are ready to wait ! Waiter kept saying it's going to take 1 hour and do u want to wait ? We literally had to stand and the waiters treat u like thrash ! Extremely terrible crowd management !  The food in Shadab maybe legendary, but if u give such thrashy service, one day you gonna fall down ! After a wait of 15 mins, we finally got a table. Food was good and met our expectations but the service experience ruined our mood and we just wanted to get out of that place ! Please focus on ur service, bcoz customer is your king and not waiters ! Please brief them on it !",2020-08-04 16:33:18,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
18,38,3,"This location is not of shadab hotel ,it's show wroung on Google map ,it's near madina circel.ok
Please se to it",2023-09-22 07:34:27,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
19,39,1,"Had to wait for 1 hour to get a table only to be told later that the only option left to order was biriyani. It was bland, had no taste felt like a waste of time. Overrated, honestly.",2023-07-23 18:17:12,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
20,40,1,"The address is incorrect. There's no trace of the restaurant in Ghansi bazaar like mentioned in the below address in Google maps. Please consult with any locals
before visiting.
9F3G+JR3, Charminar, Old City, Ghansi Bazaar, Hyderabad, Telangana 500065",2023-08-12 10:58:48,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
21,41,3,"Food is ok, but costly, very congested dining area, no parking…",2023-09-21 12:28:33,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
22,42,5,"One of the Best places to try out Biriyani in Hyderabad around charminar area !!
Though the ambience isn’t that great, but you would love the Biriyani, and also Walkable distance from charminar",2021-02-14 10:10:05,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
23,43,1,Behaviour is not satisfied  .quality of foods is poor only tiny pieces of mutton shows in a special mutton biriyani pack,2023-09-15 18:04:32,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
24,44,5,"Food is very tasty and good qty also .
Very crowded , plan before and go",2023-08-07 10:05:09,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
25,45,4,Foods are good but even water also u have pay itself that's very bad in hotel without free of water how they are doing?,2023-09-22 16:36:21,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
26,46,4,"Good experience and taste
Worth the price
Only issue was waiting time",2023-08-15 04:19:27,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
27,47,5,"Best biryani of Hyderabad
Must do reservation before visiting",2023-08-09 16:47:07,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
28,48,4,"The Ambience is pretty average but the food is really good. The Biryani tasted amazing and was very different from the ones I had in other Famous Biryani joints in Hyderbad.
Was disappointed with the Malai tikka, I thought it'll be the classic malai tikka that's immersed in the malai sauce but they served the tikka and dip seperately:(",2021-03-09 12:47:27,,1,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
29,49,3,"Super crowded, not the beat biryani but definitely worth trying",2023-08-01 11:10:05,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
30,50,1,"Don't even have proper service. Worst management, customers don't treated good , Never  visit it again",2023-08-20 14:57:36,,0,Shadab Restaurant,https://onlinehyderabad.in/wp-content/uploads/2021/10/Hotel-Shadab-1024x484.jpg
32,1,3, This is a very good food spot.,2023-09-28 17:15:38.983000,{'data': 'food'},1,Shadab Restaurant,
33,1,3, This is a very good food spot.,2023-09-28 17:17:29.798000,{'data': 'food'},1,Shadab Restaurant,
34,1,3, This is a very good food spot.,2023-09-28 17:17:54.662000,{'data': 'food'},1,Shadab Restaurant,
35,1,3, This is a very good food spot.,2023-09-28 17:18:08.143000,{'data': 'food'},1,Shadab Restaurant,
